Email,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,Searches
odhhzx50@gmail.com,7,3,6,3,11,8,11,8,16,4,4,8,5,12,16,"P09,P15,P14,P05,P07,P03"
pvxjwh5c@outlook.com,20,14,18,14,16,3,7,12,12,9,4,18,11,19,12,"P01,P14,P03,P12,P05,P02"
od8bpjv5@outlook.com,9,16,7,12,4,18,12,17,14,11,15,15,11,4,13,"P06,P08,P02,P11,P12,P09"
hg0lfjxh@connect.np.edu.sg,12,6,8,11,12,0,4,20,3,11,0,4,14,16,1,"P08,P14,P13,P01,P05,P04"
94dtieez@yahoo.com,7,6,7,12,16,7,0,14,15,2,2,15,17,9,4,"P13,P05,P09,P12,P08,P04"
ahabwyt3@gmail.com,18,16,8,2,2,2,3,10,13,1,18,17,5,11,20,"P15,P01,P11,P12,P02,P09"
mg19aa0f@yahoo.com,7,9,17,18,9,5,6,7,2,19,6,13,17,5,1,"P10,P05,P03,P13,P12,P02"
y8ngo211@connect.np.edu.sg,13,18,20,10,1,7,9,16,10,13,11,5,10,11,9,"P03,P02,P08,P01,P10,P11"
f6yg45p2@yahoo.com,9,8,6,15,4,16,19,18,10,9,18,18,0,7,15,"P07,P08,P11,P12,P06,P04"
bm7su7cy@yahoo.com,20,10,17,6,7,15,20,0,3,13,14,12,10,7,9,"P01,P07,P03,P06,P11,P10"
axgfw2oh@yahoo.com,3,9,13,18,11,12,19,14,7,20,9,18,12,0,3,"P10,P07,P04,P12,P08,P03"
twoe803x@connect.np.edu.sg,5,15,2,1,11,20,6,18,13,19,1,18,5,19,18,"P06,P10,P14,P08,P05,P15"
rhdvkpui@connect.np.edu.sg,0,20,18,6,8,0,11,20,9,16,0,12,11,13,0,"P02,P08,P03,P10,P14,P12"
ehdqxeb9@gmail.com,4,16,16,5,15,17,12,9,14,15,5,11,14,17,9,"P06,P14,P02,P03,P05,P10"
y1ykljca@connect.np.edu.sg,18,7,0,6,20,2,9,4,9,4,8,14,16,8,5,"P05,P01,P13,P12,P07,P09"
gwky0d0w@connect.np.edu.sg,14,16,8,8,11,10,15,8,0,9,1,10,11,3,5,"P02,P07,P01,P05,P13,P06"
z9kyzfv4@outlook.com,9,17,14,7,14,4,14,1,1,20,16,9,11,13,12,"P10,P02,P11,P03,P05,P07"
4l86jy82@outlook.com,6,0,10,10,0,17,6,16,8,16,0,19,1,5,5,"P12,P06,P08,P10,P03,P04"
4cygh3sq@yahoo.com,17,15,10,18,8,7,18,16,12,9,13,10,7,14,19,"P15,P04,P07,P01,P08,P02"
pbktranp@yahoo.com,13,10,10,6,2,18,17,20,17,3,19,15,4,15,13,"P08,P11,P06,P07,P09,P12"
dq6msgfd@yahoo.com,17,17,7,4,4,8,5,4,1,4,18,0,16,2,6,"P11,P01,P02,P13,P06,P03"
f5v8m88r@gmail.com,19,16,7,12,14,12,17,19,16,3,4,13,12,17,18,"P01,P08,P15,P07,P14,P02"
8w85rgsz@outlook.com,14,11,6,0,8,7,12,5,4,8,20,14,5,7,14,"P11,P01,P12,P15,P13,P02"
5h8aqxf9@gmail.com,7,0,19,8,1,16,19,9,3,11,7,7,6,3,20,"P15,P03,P07,P06,P10,P08"
q3wvy187@gmail.com,1,19,10,0,0,2,15,0,4,2,6,15,10,18,15,"P02,P14,P07,P02,P15,P03"
9yecqz7j@gmail.com,16,6,14,11,13,4,10,12,16,2,18,1,16,6,18,"P11,P15,P01,P09,P13,P03"
odkn1nal@outlook.com,19,0,16,9,4,3,3,19,12,3,17,15,16,15,12,"P01,P08,P11,P03,P13,P12"
2ysesvzh@connect.np.edu.sg,4,7,9,9,3,16,16,17,19,13,18,8,17,19,12,"P09,P14,P11,P08,P13,P06"
j76akzsi@connect.np.edu.sg,1,11,7,15,9,2,18,12,11,0,5,7,18,13,6,"P07,P13,P04,P14,P08,P02"
