Email,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,Searches
c2tip58a@gmail.com,19,0,19,3,17,12,6,2,0,8,7,10,4,0,7,"P01,P03,P05,P06,P12,P10"
e05xv79c@yahoo.com,13,3,6,14,7,20,4,18,2,13,17,11,8,3,15,"P06,P08,P11,P15,P04,P01"
b1ixmjlf@yahoo.com,0,6,18,4,20,16,5,6,10,12,5,20,8,3,20,"P05,P12,P15,P11,P06,P10"
37x7el41@connect.np.edu.sg,17,12,3,7,14,17,11,18,20,0,19,4,14,18,0,"P09,P11,P08,P14,P01,P06"
oh2jr36z@yahoo.com,18,12,6,4,11,4,12,5,18,6,3,9,4,5,11,"P01,P09,P02,P07,P05,P15"
ijxncztx@connect.np.edu.sg,6,14,17,13,2,10,6,16,0,15,18,16,3,18,6,"P11,P14,P03,P08,P12,P10"
dmcg5ero@connect.np.edu.sg,3,6,5,6,11,12,6,13,7,1,7,16,16,12,11,"P12,P13,P08,P06,P14,P05"
pc025lm4@outlook.com,16,0,15,11,9,15,12,17,1,15,1,8,12,8,1,"P08,P01,P03,P06,P10,P07"
sfvoeccw@yahoo.com,18,0,2,4,14,1,15,14,16,10,7,18,6,11,5,"P01,P12,P09,P07,P05,P08"
vqk12ibn@connect.np.edu.sg,5,0,13,14,14,5,15,17,9,5,17,17,17,4,5,"P08,P11,P12,P13,P07,P04"
g72gp7hs@connect.np.edu.sg,16,19,18,7,8,18,2,15,15,19,5,1,0,17,8,"P02,P10,P03,P06,P14,P01"
pthpgj86@connect.np.edu.sg,11,18,2,19,0,20,15,12,3,5,8,15,20,12,7,"P06,P13,P04,P02,P07,P12"
z10xxcne@connect.np.edu.sg,8,20,1,6,4,0,13,16,12,9,18,18,0,6,6,"P02,P11,P12,P08,P07,P09"
msrewvrt@yahoo.com,11,3,12,6,17,17,13,7,10,20,17,16,2,6,19,"P10,P15,P05,P06,P11,P12"
7t5755j5@yahoo.com,11,7,17,9,5,20,8,3,17,14,6,13,6,12,20,"P06,P15,P03,P09,P10,P12"
hthp4vlb@gmail.com,2,0,5,15,4,2,19,0,1,16,20,17,4,11,18,"P11,P07,P15,P12,P10,P04"
chwgymrc@gmail.com,12,6,8,9,14,7,20,12,2,4,8,11,0,9,3,"P07,P05,P01,P08,P12,P04"
24vr8nrk@gmail.com,3,10,1,16,7,9,3,19,13,3,16,18,18,19,5,"P08,P14,P12,P13,P04,P11"
tr5wljjt@outlook.com,7,8,0,17,6,12,14,9,18,6,13,4,19,8,17,"P13,P09,P04,P15,P07,P11"
wclrgq8e@gmail.com,5,7,5,20,13,17,6,13,2,18,6,14,13,6,4,"P04,P10,P06,P12,P05,P08"
249ts5wi@connect.np.edu.sg,19,12,6,10,6,9,12,12,16,7,14,19,14,10,16,"P01,P12,P09,P15,P11,P13"
03dc44u7@yahoo.com,14,15,14,12,9,14,12,3,9,17,17,8,9,2,16,"P10,P11,P15,P02,P15,P03"
www90j8k@yahoo.com,1,12,5,13,4,7,19,20,16,13,9,5,1,0,9,"P08,P07,P09,P04,P10,P02"
uwwnfez6@gmail.com,10,15,9,15,20,14,10,20,14,2,18,11,13,7,14,"P05,P08,P11,P02,P04,P06"
sgo6xgd4@gmail.com,4,2,6,19,6,18,15,2,9,3,19,13,3,20,2,"P08,P04,P11,P06,P07,P12"
97mqkdzc@yahoo.com,5,11,17,18,7,7,13,2,3,9,14,19,0,13,8,"P12,P04,P03,P11,P07,P14"
6rdx7w2i@yahoo.com,1,15,17,4,11,3,9,20,8,0,7,12,0,14,13,"P08,P03,P02,P14,P15,P12"
ygzmhvoa@connect.np.edu.sg,16,0,13,9,14,0,6,6,10,20,7,3,14,15,7,"P10,P01,P14,P05,P13,P03"
znuu41lc@outlook.com,19,9,11,10,17,14,11,19,5,1,11,4,20,17,16,"P13,P01,P08,P05,P14,P15"
mlvz6dv7@yahoo.com,11,12,1,13,5,5,12,12,6,0,12,8,12,15,9,"P14,P04,P02,P07,P08,P11"
2w4z6roo@gmail.com,1,20,2,3,4,5,19,1,20,7,15,12,17,0,7,"P02,P09,P07,P13,P11,P12"
2fakbjr9@outlook.com,12,14,18,14,15,3,11,11,7,17,16,20,18,6,4,"P12,P03,P13,P10,P11,P05"
g1dthoze@yahoo.com,7,0,16,10,5,8,18,0,10,13,2,0,7,3,12,"P07,P03,P10,P15,P04,P09"
k32qsjsy@outlook.com,11,14,12,3,8,18,18,3,17,1,13,12,10,19,10,"P14,P06,P07,P09,P02,P06"
inv50kbk@connect.np.edu.sg,13,5,5,4,19,2,2,4,11,17,12,19,4,1,9,"P05,P12,P10,P15,P11,P09"
ox9rj8hb@outlook.com,18,1,17,18,15,5,5,1,17,1,19,6,3,14,4,"P11,P01,P04,P03,P02,P05"
r1n55hwk@gmail.com,1,19,0,6,17,14,17,10,16,10,3,18,5,18,10,"P02,P12,P14,P05,P07,P09"
e6hfja2o@gmail.com,14,0,18,10,19,9,10,9,14,10,3,2,3,3,9,"P05,P03,P01,P09,P04,P07"
ztg7gfl6@gmail.com,20,2,13,7,0,13,4,10,11,16,3,9,13,3,1,"P01,P10,P03,P06,P13,P09"
zj0tfhyr@yahoo.com,14,19,8,12,2,8,9,8,10,9,19,12,16,16,5,"P02,P11,P13,P14,P01,P04"
0hagkfl3@outlook.com,14,2,12,10,3,15,10,1,6,11,12,16,12,0,20,"P15,P12,P06,P01,P03,P11"
ostyg472@gmail.com,1,5,14,19,12,10,14,14,1,10,8,11,17,4,0,"P04,P13,P03,P07,P08,P05"
y9ptjccn@gmail.com,13,0,3,3,1,2,8,16,20,17,4,2,2,1,17,"P09,P10,P15,P08,P01,P07"
fi7fd9gc@connect.np.edu.sg,18,6,2,5,14,12,16,17,11,8,3,10,18,13,7,"P06,P13,P08,P07,P05,P14"
q4vm18md@connect.np.edu.sg,19,1,11,20,13,4,11,4,19,5,0,8,1,0,16,"P04,P01,P09,P15,P05,P03"
ozfz25g6@yahoo.com,8,12,8,4,18,1,2,10,14,12,20,17,9,15,1,"P11,P05,P12,P14,P09,P02"
81fewv32@yahoo.com,8,15,10,12,17,1,18,19,16,16,15,16,17,2,8,"P08,P07,P05,P13,P09,P10"
5372fqsc@connect.np.edu.sg,11,13,3,4,4,10,11,7,4,20,11,3,12,1,17,"P10,P15,P02,P13,P01,P07"
ueqlsznq@connect.np.edu.sg,9,4,9,1,10,15,2,13,19,3,20,1,1,10,8,"P11,P09,P06,P08,P05,P14"
4z9x55zf@outlook.com,20,16,7,13,11,18,13,0,15,0,4,15,9,17,12,"P01,P06,P14,P02,P09,P12"
gt2fzx32@gmail.com,2,6,14,20,1,19,13,13,14,19,5,17,6,11,3,"P04,P06,P10,P12,P03,P09"
vac9frsj@gmail.com,6,4,7,6,13,19,9,10,3,13,2,14,6,14,18,"P06,P15,P12,P14,P05,P10"
jdp8c02u@connect.np.edu.sg,8,6,12,11,14,18,19,10,13,18,20,5,12,3,13,"P11,P07,P06,P10,P05,P09"
0o23agdc@gmail.com,1,0,3,12,14,16,16,11,12,19,4,0,4,14,9,"P10,P06,P07,P11,P14,P04"
2kt4enax@gmail.com,11,10,20,14,19,0,12,5,20,18,5,0,6,4,15,"P03,P09,P05,P11,P15,P04"
lhlhx9ct@outlook.com,4,2,8,2,10,9,13,19,18,15,13,8,3,18,19,"P08,P15,P09,P14,P10,P07"
ca08bygw@gmail.com,2,1,9,13,8,1,8,18,12,7,19,6,10,11,20,"P15,P11,P08,P04,P09,P14"
xnir9lnr@connect.np.edu.sg,7,3,11,18,20,19,16,18,8,13,6,13,15,12,10,"P05,P06,P04,P08,P07,P03"
ahdc487h@yahoo.com,2,15,15,13,13,7,4,4,19,18,0,12,15,13,2,"P09,P02,P02,P03,P13,P04"
qac185gj@yahoo.com,20,7,13,10,12,10,5,12,15,5,12,15,3,16,7,"P01,P14,P09,P12,P03,P05"
beqk3vwo@gmail.com,19,11,9,19,12,6,2,6,11,6,8,4,4,11,6,"P01,P04,P05,P02,P09,P14"
usxvan57@gmail.com,17,3,0,20,6,0,3,4,16,9,11,12,2,14,1,"P04,P01,P09,P14,P12,P11"
2f0bi613@outlook.com,1,17,1,9,12,1,9,14,15,6,19,13,15,2,8,"P11,P02,P09,P13,P08,P12"
b4m288gp@outlook.com,15,0,6,13,3,18,15,12,8,14,2,0,14,18,14,"P06,P14,P02,P07,P10,P13"
9zuds2tu@gmail.com,17,3,0,16,12,7,10,2,5,10,18,5,11,12,15,"P11,P01,P04,P15,P05,P14"
tmfhzfja@gmail.com,9,12,12,5,2,1,20,0,0,11,11,6,12,10,13,"P07,P15,P02,P03,P13,P10"
l32uiv5p@gmail.com,10,3,6,3,18,16,7,14,0,6,8,18,6,19,8,"P14,P05,P12,P06,P08,P01"
ubduo1n6@yahoo.com,5,2,10,4,5,20,4,18,14,4,10,0,10,19,5,"P06,P14,P08,P09,P03,P11"
2gmx1d8r@yahoo.com,3,1,8,0,0,7,5,3,18,6,1,10,15,17,18,"P09,P15,P04,P13,P12,P03"
jdugmhbm@gmail.com,17,7,0,16,9,20,15,14,9,0,15,6,13,10,9,"P06,P01,P04,P07,P11,P08"
8l2wk2j9@outlook.com,12,12,10,17,20,10,3,18,15,1,15,20,8,16,1,"P05,P12,P08,P04,P14,P09"
u1qew671@gmail.com,19,14,19,10,15,11,13,18,7,11,6,17,0,0,5,"P01,P03,P08,P12,P05,P02"
24lsvevj@yahoo.com,19,17,1,12,20,16,1,5,6,16,3,12,5,15,14,"P05,P01,P02,P06,P10,P14"
3fdx3ltt@yahoo.com,15,6,12,3,18,9,17,1,9,17,16,12,6,9,9,"P05,P07,P10,P11,P01,P03"
5t5i13h0@yahoo.com,8,14,2,2,19,8,17,11,14,19,13,16,7,3,20,"P15,P05,P10,P07,P12,P02"
np4dv7ub@gmail.com,6,14,6,11,0,5,19,1,7,14,19,17,3,15,5,"P07,P11,P12,P14,P02,P10"
cfiokre2@connect.np.edu.sg,5,6,0,19,9,2,6,18,12,12,8,15,8,4,14,"P04,P08,P12,P15,P09,P10"
898yzs9q@connect.np.edu.sg,5,4,10,16,2,7,11,12,5,0,14,17,16,14,20,"P15,P12,P04,P13,P11,P14"
9lz40nzs@yahoo.com,5,9,2,4,1,3,16,5,16,10,14,8,11,6,14,"P07,P09,P11,P15,P13,P10"
novyo138@yahoo.com,11,3,16,12,6,18,17,5,16,5,12,2,11,20,12,"P14,P06,P07,P03,P09,P04"
80ycyyld@yahoo.com,8,0,0,17,5,13,1,3,1,0,8,20,5,20,1,"P12,P14,P04,P06,P01,P11"
ydltk9wx@yahoo.com,16,12,12,2,4,20,3,14,10,10,13,1,17,7,12,"P06,P13,P01,P08,P11,P02"
dyf09ls5@gmail.com,6,4,9,15,12,3,3,1,16,0,20,12,4,9,3,"P11,P05,P04,P05,P12,P03"
h3enizku@yahoo.com,19,12,4,15,2,14,9,15,13,19,14,14,1,7,17,"P01,P10,P15,P04,P08,P06"
09a2az7p@outlook.com,4,14,11,12,0,9,19,15,6,10,16,1,7,20,10,"P14,P07,P11,P08,P02,P04"
wk5rqyn3@gmail.com,10,0,13,20,13,7,3,5,15,17,6,6,0,14,7,"P04,P10,P09,P14,P03,P05"
h1buckox@connect.np.edu.sg,4,5,3,13,12,17,10,18,19,12,5,15,12,6,13,"P09,P08,P06,P12,P04,P15"
0qmg50pf@connect.np.edu.sg,17,3,16,5,6,12,12,0,9,12,0,18,3,5,2,"P12,P03,P03,P06,P07,P10"
qstmo2ww@gmail.com,9,7,6,5,13,12,0,2,18,20,1,7,9,20,16,"P10,P14,P09,P15,P05,P06"
2ty6sjze@outlook.com,0,16,19,3,8,17,18,19,16,18,18,19,2,6,15,"P03,P08,P12,P07,P10,P11"
dews4hb4@gmail.com,9,13,18,11,7,19,9,15,2,14,0,3,9,7,7,"P06,P03,P08,P10,P02,P04"
w9uoeaq6@gmail.com,5,11,15,14,4,10,9,3,3,11,0,1,2,3,1,"P03,P04,P02,P10,P06,P07"
thkd8rvq@yahoo.com,15,11,7,1,9,13,19,17,4,1,14,7,3,1,3,"P07,P08,P01,P12,P06,P02"
c0vm16tf@connect.np.edu.sg,8,17,2,4,16,8,1,0,7,10,3,2,3,12,5,"P02,P05,P14,P10,P01,P06"
86607xpc@connect.np.edu.sg,13,19,12,5,8,18,17,18,3,13,5,6,1,6,19,"P02,P15,P06,P08,P07,P01"
684rjbbz@connect.np.edu.sg,14,3,2,10,15,18,13,8,14,4,14,5,10,4,4,"P06,P05,P01,P09,P11,P07"
f8gqknqm@gmail.com,20,11,19,13,16,11,15,3,17,4,12,17,19,6,1,"P01,P03,P13,P09,P12,P05"
2mi7j6o8@gmail.com,15,6,14,0,14,18,10,11,0,16,3,9,9,12,15,"P06,P10,P01,P15,P03,P05"
vdtswq13@outlook.com,10,11,5,15,11,15,20,12,1,17,8,8,0,3,9,"P07,P10,P04,P06,P08,P02"
